M9_board,M9_center,M9_corner,M8_board,M8_center,M8_corner,M7_board,M7_center,M7_corner
326.3286053,310.6417883,319.2718007,324.1875153,310.0447429,316.5590679,323.09431,309.7426272,316.5590679
327.089405,311.0698181,319.7719974,324.8656052,310.425982,316.9695444,323.7305782,310.1002384,316.9695444
327.8418487,311.5026797,320.2708159,325.5361292,310.8115038,317.3822587,324.3596908,310.4618643,317.3822587
328.5856158,311.9396016,320.7679686,326.1988132,311.2006247,317.7966755,324.9814183,310.8268705,317.7966755
329.3204514,312.3798989,321.2632166,326.8534363,311.5927295,318.2123169,325.5955386,311.19468,318.2123169
330.0461593,312.8229517,321.756359,327.499832,311.9872664,318.6287599,326.2019116,311.5647763,318.6287599
330.7625987,313.2681743,322.2472266,328.1378769,312.3837423,319.045625,326.800409,311.9366876,319.045625
331.469664,313.7150937,322.7356805,328.7674857,312.7817114,319.4625783,327.3909679,312.3099976,319.4625783
332.1672907,314.1632648,323.2215992,329.3886057,313.1807766,319.8793213,327.9735356,312.6843357,319.8793213
332.8554477,314.6122823,323.7048873,330.0012125,313.5805751,320.2955874,328.5480599,313.0593662,320.2955874
333.5341296,315.0617855,324.1854595,330.605306,313.980795,320.7111412,329.1145796,313.4347871,320.7111412
